Date,Pred,y
2022-08-01,3547.2924668051683,1753.0
2022-08-02,1686.534627419149,474.0
2022-08-03,665.9100940612304,27.0
2022-08-04,1856.9844532726356,3.0
2022-08-05,1066.216035081484,7.0
2022-08-06,0.0,0.0
2022-08-07,0.0,68.0
2022-08-08,2444.159792910059,205.0
2022-08-09,1032.7047910821605,1753.0
2022-08-10,1654.725027526668,1317.0
2022-08-11,1819.866869286558,1753.0
2022-08-12,1431.7999891990069,2628.0
2022-08-13,0.0,0.0
2022-08-14,152.16624833013861,0.0
2022-08-15,1262.4911007839303,0.0
2022-08-16,2487.0980223809865,4560.0
2022-08-17,2131.8947984368833,1148.0
2022-08-18,2178.168873557126,3524.0
2022-08-19,2890.515237971536,1676.0
2022-08-20,354.37832985693217,0.0
2022-08-21,91.94586680926182,0.0
2022-08-22,3236.7344063243854,4076.0
2022-08-23,3440.1944137697155,4276.0
2022-08-24,2964.463504441881,3680.0
2022-08-25,3782.7692243287365,2352.0
2022-08-26,2373.701422364811,2500.0
2022-08-27,51.669876636721256,0.0
2022-08-28,35.12329956946428,0.0
2022-08-29,2538.9768224616864,2676.0
2022-08-30,134.7802872337627,0.0
2022-08-31,122.67986517519967,0.0
2022-09-01,2335.8339559673514,1753.0
2022-09-02,1592.6163060206748,3225.0
2022-09-03,0.0,0.0
2022-09-04,0.0,0.0
2022-09-05,2149.2308455708917,6815.0
2022-09-06,4209.449190204965,5764.0
2022-09-07,2801.232258670155,3312.0
2022-09-08,2573.6061205909264,1364.0
2022-09-09,1022.7092174818058,0.0
2022-09-10,448.182970328756,0.0
2022-09-11,384.33959809784346,0.0
2022-09-12,1392.2399162740855,0.0
2022-09-13,3733.570639468624,4472.0
2022-09-14,2831.074180047545,1980.0
2022-09-15,2279.8823425943087,3700.0
2022-09-16,2775.6546798387603,1296.0
2022-09-17,209.35547955525226,0.0
2022-09-18,0.0,0.0
2022-09-19,3794.776429040544,4020.0
2022-09-20,4460.599455893204,3292.0
2022-09-21,3220.7689743844253,2852.0
2022-09-22,2959.3509532233898,3516.0
2022-09-23,2788.8409994896797,3060.0
2022-09-24,139.3489553562481,0.0
2022-09-25,433.35753912608834,0.0
2022-09-26,2610.004270290655,3020.0
2022-09-27,2978.6662088370153,2992.0
2022-09-28,2402.1386656889763,1944.0
2022-09-29,244.56742104869363,0.0
2022-09-30,0.0,40.0
2022-10-01,2079.329826102688,1753.0
2022-10-02,1220.1095186511016,20.0
2022-10-03,2141.5687890724257,0.0
2022-10-04,4052.672661072592,6135.0
2022-10-05,3370.5239875357393,3177.0
2022-10-06,3263.6660455470465,4234.0
2022-10-07,2567.049436673793,3525.0
2022-10-08,811.1761914557519,160.0
2022-10-09,822.6510448707597,0.0
2022-10-10,1230.798471489375,0.0
2022-10-11,3892.286587800554,3472.0
2022-10-12,2905.942682624349,3640.0
2022-10-13,3626.4747382652363,2848.0
2022-10-14,2658.169648496407,3180.0
2022-10-15,183.75831111986554,0.0
2022-10-16,0.0,0.0
2022-10-17,3659.6200225054167,3672.0
2022-10-18,4158.19733159974,2408.0
2022-10-19,2786.2295132773415,2348.0
2022-10-20,3464.921346382695,2724.0
2022-10-21,2685.1914286051415,2016.0
2022-10-22,0.0,0.0
2022-10-23,0.0,0.0
2022-10-24,3740.8916703410705,5476.0
2022-10-25,4743.03912409793,4008.0
2022-10-26,3887.2060646882414,4260.0
2022-10-27,2093.4754065286515,4176.0
2022-10-28,1138.7994738034233,0.0
2022-10-29,403.9802516617008,0.0
2022-10-30,111.51867568767193,0.0
2022-10-31,903.2056462428368,0.0
2022-11-01,4444.041851514619,1753.0
2022-11-02,1770.1375197120917,2180.0
2022-11-03,2620.3864876516755,3119.0
2022-11-04,1648.695337774865,2054.0
2022-11-05,0.0,80.0
2022-11-06,13.611795013448955,0.0
2022-11-07,3555.4292916727063,3018.0
2022-11-08,3132.236936009433,4537.0
2022-11-09,2775.9659043126803,2979.0
2022-11-10,3213.7665485386583,3152.0
2022-11-11,2552.5002559812324,2320.0
2022-11-12,244.35671516507455,0.0
2022-11-13,128.1268283912068,20.0
2022-11-14,3541.4924450699486,4638.0
2022-11-15,3322.583973048206,2892.0
2022-11-16,2822.712840913762,3712.0
2022-11-17,3275.24064537455,4544.0
2022-11-18,2512.621068602686,2632.0
2022-11-19,357.6939394658875,0.0
2022-11-20,151.6659696858851,0.0
2022-11-21,3939.3604912631245,4080.0
2022-11-22,4276.791397952399,3508.0
2022-11-23,4057.5649995456233,1984.0
2022-11-24,3546.4721546469955,2944.0
2022-11-25,3088.9442288438527,1924.0
2022-11-26,0.0,0.0
2022-11-27,0.0,0.0
2022-11-28,3152.1443676516565,4764.0
2022-11-29,2885.543559634525,0.0
2022-11-30,482.9184656616753,0.0
2022-12-01,2964.7633467704864,1753.0
2022-12-02,1739.0844328234016,2078.0
2022-12-03,0.0,0.0
2022-12-04,0.0,0.0
2022-12-05,3240.2940096801576,4736.0
2022-12-06,3517.1720478903685,2903.0
2022-12-07,2820.2358751262664,2130.0
2022-12-08,3500.9631587892145,4005.0
2022-12-09,2455.646560485048,2312.0
2022-12-10,250.97553654120406,0.0
2022-12-11,125.77856510058109,0.0
2022-12-12,3770.8237771228187,3450.0
2022-12-13,3408.6710940867442,2248.0
2022-12-14,2342.78517479343,2558.0
2022-12-15,2851.134715147433,4445.0
2022-12-16,2655.353815694243,2317.0
2022-12-17,342.8230659624328,410.0
2022-12-18,0.0,0.0
2022-12-19,4006.511343058177,6766.0
2022-12-20,3771.969523258867,5836.0
