,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,2.0355,212.5929,165.16,-18.2946,-14.2128,-0.0679
eIMF_2,5.0909,204.5163,164.7476,0.8938,0.72,0.1543
eIMF_3,1.7598,6.4093,4.7482,8.594,6.3667,-0.1325
All,30.7839,288.7407,204.1248,1.3249,0.9366,0.0505
