Date,Pred,y
2022-08-01,265.09447856625826,310.0
2022-08-02,306.8680033191111,67.0
2022-08-03,152.1970861581906,91.0
2022-08-04,199.01378842932093,28.0
2022-08-05,269.96812160399435,8.0
2022-08-06,39.32956516737482,0.0
2022-08-07,10.819262028878713,0.0
2022-08-08,165.60033327338635,169.0
2022-08-09,87.46018087043922,177.0
2022-08-10,154.88679270330064,240.0
2022-08-11,191.98454759575782,10.0
2022-08-12,228.91314581483564,169.5
2022-08-13,179.40476265974795,3.0
2022-08-14,0.0,0.0
2022-08-15,144.37378866326895,0.0
2022-08-16,239.3195177006908,1099.0
2022-08-17,500.1908892773449,70.0
2022-08-18,282.6983781763027,205.0
2022-08-19,188.90602011537618,2.0
2022-08-20,109.36342282232776,0.0
2022-08-21,0.0,0.0
2022-08-22,427.15916906663676,92.0
2022-08-23,361.03014598457,7.5
2022-08-24,187.51115582430748,271.0
2022-08-25,378.10080589858023,929.0
2022-08-26,262.822386627489,4.0
2022-08-27,392.4603829881795,0.0
2022-08-28,106.95646917611718,0.0
2022-08-29,306.3273248610258,108.0
2022-08-30,230.30490150558614,253.0
2022-08-31,54.87812677747161,79.0
2022-09-01,342.1770065779781,728.0
2022-09-02,394.32101448611445,165.0
2022-09-03,226.04874895657727,44.0
2022-09-04,91.20669787608415,0.0
2022-09-05,254.4173548355503,95.0
2022-09-06,175.38089295042488,21.0
2022-09-07,138.80094738719035,332.0
2022-09-08,302.39623670127355,271.0
2022-09-09,22.93531995405472,0.0
2022-09-10,16.79062176993058,0.0
2022-09-11,0.0,0.0
2022-09-12,151.2217432226613,0.0
2022-09-13,376.3085450170511,1186.0
2022-09-14,467.1282869775562,698.0
2022-09-15,416.2200680775462,297.0
2022-09-16,211.82193765404307,38.5
2022-09-17,140.24397681336185,957.0
2022-09-18,115.48798338691316,0.0
2022-09-19,381.379056152301,210.5
2022-09-20,513.4380041231807,310.0
2022-09-21,244.6145637707197,550.5
2022-09-22,419.53903043252313,257.0
2022-09-23,540.7368415473971,752.0
2022-09-24,382.08395574720186,540.0
2022-09-25,101.20692840485886,0.0
2022-09-26,283.3186761477587,76.5
2022-09-27,415.86279741581575,152.0
2022-09-28,349.20469922511995,1072.0
2022-09-29,411.4037357688695,177.0
2022-09-30,228.70769842962147,23.5
2022-10-01,383.4939112129585,180.0
2022-10-02,0.0,0.0
2022-10-03,112.1712832645899,51.0
2022-10-04,42.210247226172484,177.0
2022-10-05,322.66751141040663,350.5
2022-10-06,291.3499887086278,163.0
2022-10-07,279.47435680111687,787.0
2022-10-08,234.68581296138896,0.0
2022-10-09,79.81390236586874,0.0
2022-10-10,27.516877052511347,0.0
2022-10-11,664.4090757843433,1084.0
2022-10-12,699.2112379986394,16.0
2022-10-13,470.401597781087,5.0
2022-10-14,320.53146996941354,40.5
2022-10-15,158.27006917023633,0.0
2022-10-16,0.0,0.0
2022-10-17,348.676909477282,131.0
2022-10-18,363.844134919704,46.0
2022-10-19,172.85980228610416,177.0
2022-10-20,192.04681640971756,378.5
2022-10-21,342.0148762744773,56.0
2022-10-22,227.25330074680468,0.0
2022-10-23,0.0,0.0
2022-10-24,197.69767183773817,134.0
2022-10-25,376.1772570609213,278.0
2022-10-26,171.96587480412907,50.0
2022-10-27,204.9879295411905,40.0
2022-10-28,200.17971862443432,8.0
2022-10-29,12.243141440865157,929.0
2022-10-30,127.89014553211868,0.0
2022-10-31,214.59139606755238,177.0
2022-11-01,532.2579633216321,35.0
2022-11-02,244.92782452859547,17.0
2022-11-03,31.100877754366977,0.0
2022-11-04,33.52059109082393,37.0
2022-11-05,21.880811806453174,117.0
2022-11-06,0.0,0.0
2022-11-07,157.7730049752717,177.0
2022-11-08,193.80201225529635,13.0
2022-11-09,132.6959740717921,562.0
2022-11-10,126.28874401036774,936.0
2022-11-11,282.86782474722474,53.0
2022-11-12,22.031763206309545,0.0
2022-11-13,0.0,0.0
2022-11-14,85.42098698165032,79.0
2022-11-15,304.692688555538,912.0
2022-11-16,406.7914127608556,0.0
2022-11-17,300.5023562414507,547.0
2022-11-18,200.50913918920395,10.0
2022-11-19,147.85318501603507,912.0
2022-11-20,166.71748019579525,0.0
2022-11-21,88.62521792284109,158.0
2022-11-22,329.86775059189273,405.66
2022-11-23,220.70823381665778,192.34
2022-11-24,279.503510146451,467.5
2022-11-25,492.18538262242015,6.0
2022-11-26,211.63088240748175,0.0
2022-11-27,0.0,0.0
2022-11-28,212.36411777991478,510.0
2022-11-29,266.69055767900954,67.0
2022-11-30,283.0898347319754,177.0
2022-12-01,250.11393597991847,109.0
2022-12-02,196.36545704017334,7.0
2022-12-03,1.6688869977312666,0.0
2022-12-04,0.0,0.0
2022-12-05,212.19171760207163,926.0
2022-12-06,296.5162645295131,435.0
2022-12-07,295.59543925639247,3.0
2022-12-08,178.6132573423028,177.0
2022-12-09,90.57952359980099,179.0
2022-12-10,122.33433679227836,169.0
2022-12-11,0.0,0.0
2022-12-12,278.5420501031973,126.0
2022-12-13,353.4803080614544,25.0
2022-12-14,281.3822375166005,499.0
2022-12-15,335.77711488932084,152.0
2022-12-16,148.03622807192127,839.0
2022-12-17,385.38795318647044,0.0
2022-12-18,54.405082342428784,0.0
2022-12-19,311.1103205614704,716.0
2022-12-20,213.92329708116688,602.0
2022-12-21,241.694906612637,788.0
2022-12-22,386.94616293670236,557.0
2022-12-23,370.35130795434327,434.0
2022-12-24,323.44162311180133,255.0
2022-12-25,0.0,0.0
2022-12-26,470.1211051410664,476.0
2022-12-27,364.1218761572072,352.0
