Date,Pred,y
2022-08-01,0.0,1753.0
2022-08-02,1056.972045227859,474.0
2022-08-03,1380.7012216981018,27.0
2022-08-04,778.6005744360052,3.0
2022-08-05,420.8791258041972,7.0
2022-08-06,0.0,0.0
2022-08-07,0.0,68.0
2022-08-08,0.0,205.0
2022-08-09,0.0,1753.0
2022-08-10,2477.5125373369906,1317.0
2022-08-11,2183.602918546101,1753.0
2022-08-12,1980.880213488242,2628.0
2022-08-13,1242.3334028068534,0.0
2022-08-14,0.0,0.0
2022-08-15,304.6023698750664,0.0
2022-08-16,3218.1850006899094,4560.0
2022-08-17,3214.5527250025907,1148.0
2022-08-18,2901.812426413324,3524.0
2022-08-19,1627.848732418285,1676.0
2022-08-20,0.0,0.0
2022-08-21,737.5596671657843,0.0
2022-08-22,2325.270663041146,4076.0
2022-08-23,3957.0720138909246,4276.0
2022-08-24,3515.771717004895,3680.0
2022-08-25,3059.5043877060975,2352.0
2022-08-26,2786.857342830929,2500.0
2022-08-27,686.5289410657488,0.0
2022-08-28,336.6369707843685,0.0
2022-08-29,909.3794261583305,2676.0
2022-08-30,1364.1555534882723,0.0
2022-08-31,2143.1602738017173,0.0
2022-09-01,2614.0129990369014,1753.0
2022-09-02,1278.5327324694188,3225.0
2022-09-03,0.0,0.0
2022-09-04,927.253787573876,0.0
2022-09-05,4174.584559610687,6815.0
2022-09-06,4966.694641995148,5764.0
2022-09-07,3338.3673715313207,3312.0
2022-09-08,3215.4758839574133,1364.0
2022-09-09,2388.2592714819825,0.0
2022-09-10,678.549837902096,0.0
2022-09-11,0.0,0.0
2022-09-12,0.0,0.0
2022-09-13,2008.0969915689604,4472.0
2022-09-14,3151.2050367184265,1980.0
2022-09-15,3371.910939819233,3700.0
2022-09-16,1549.8220794668277,1296.0
2022-09-17,446.8310132614738,0.0
2022-09-18,951.3929277085899,0.0
2022-09-19,2065.5775037037693,4020.0
2022-09-20,4062.5127955570533,3292.0
2022-09-21,4174.0268734342135,2852.0
2022-09-22,4241.144541756361,3516.0
2022-09-23,2672.456111898368,3060.0
2022-09-24,256.3743081763637,0.0
2022-09-25,377.7834913838283,0.0
2022-09-26,1114.676260153955,3020.0
2022-09-27,2079.053555670499,2992.0
2022-09-28,1525.5955796753494,1944.0
2022-09-29,1546.5687323476193,0.0
2022-09-30,1975.9027653089859,40.0
2022-10-01,1296.5270439653993,1753.0
2022-10-02,0.0,20.0
2022-10-03,552.7829341258121,0.0
2022-10-04,3892.2596742514706,6135.0
2022-10-05,4386.482278465206,3177.0
2022-10-06,4887.957053885987,4234.0
2022-10-07,3443.601836966829,3525.0
2022-10-08,1155.739719143287,160.0
2022-10-09,0.0,0.0
2022-10-10,0.0,0.0
2022-10-11,1541.341071558008,3472.0
2022-10-12,3261.9480723447605,3640.0
2022-10-13,3841.5223042646176,2848.0
2022-10-14,3349.099738259756,3180.0
2022-10-15,1116.2162769566403,0.0
2022-10-16,710.7734519241501,0.0
2022-10-17,1589.8902658305387,3672.0
2022-10-18,3349.5272250041426,2408.0
2022-10-19,3815.0515675404176,2348.0
2022-10-20,3367.6921460579674,2724.0
2022-10-21,1627.7779383482755,2016.0
2022-10-22,0.0,0.0
2022-10-23,142.08742622368118,0.0
2022-10-24,2693.532848043983,5476.0
2022-10-25,4978.120872977246,4008.0
2022-10-26,5354.487880192895,4260.0
2022-10-27,4623.302697056919,4176.0
2022-10-28,1714.167330158711,0.0
2022-10-29,0.0,0.0
2022-10-30,0.0,0.0
2022-10-31,0.0,0.0
2022-11-01,1332.7128177166378,1753.0
2022-11-02,2455.0809625165066,2180.0
2022-11-03,2942.121758414233,3119.0
2022-11-04,1713.7380143962503,2054.0
2022-11-05,538.6395696298985,80.0
2022-11-06,980.4406420270514,0.0
2022-11-07,2024.3896565067384,3018.0
2022-11-08,3852.62332840352,4537.0
2022-11-09,3705.8234281508358,2979.0
2022-11-10,3582.2992653627116,3152.0
2022-11-11,2274.718264444925,2320.0
2022-11-12,361.5783914319861,0.0
2022-11-13,338.47246655795175,20.0
2022-11-14,2151.003383312385,4638.0
2022-11-15,4246.305092118371,2892.0
2022-11-16,5016.127266566592,3712.0
2022-11-17,4459.956162169475,4544.0
2022-11-18,2073.387261025444,2632.0
2022-11-19,0.0,0.0
2022-11-20,635.6949156696505,0.0
2022-11-21,2551.657853700817,4080.0
2022-11-22,3524.853531064575,3508.0
2022-11-23,3082.9183941077663,1984.0
2022-11-24,3100.7365752259684,2944.0
2022-11-25,1168.4175908709835,1924.0
2022-11-26,69.62162308123311,0.0
2022-11-27,884.2786429622699,0.0
2022-11-28,2478.52057088578,4764.0
2022-11-29,2535.4519418926457,0.0
2022-11-30,2291.4314012414566,0.0
2022-12-01,2704.906904487387,1753.0
2022-12-02,814.7358721152825,2078.0
2022-12-03,0.0,0.0
2022-12-04,238.76643318752576,0.0
2022-12-05,2437.3027419918644,4736.0
2022-12-06,3996.0072968132235,2903.0
2022-12-07,3828.5971777505047,2130.0
2022-12-08,4434.889645845693,4005.0
2022-12-09,2443.980111534088,2312.0
2022-12-10,310.0726815318726,0.0
2022-12-11,570.4154046912604,0.0
2022-12-12,1746.5005210569955,3450.0
2022-12-13,3356.2111826271757,2248.0
2022-12-14,4096.117899567305,2558.0
2022-12-15,4187.554023436368,4445.0
2022-12-16,1997.9348000475907,2317.0
2022-12-17,723.3195727594707,410.0
2022-12-18,1986.2523574437175,0.0
2022-12-19,4535.421026916016,6766.0
2022-12-20,5317.9555947443905,5836.0
2022-12-21,3661.83701065863,3130.0
