Date,Pred,y
2022-08-01,63.4603901418744,310.0
2022-08-02,176.9757750552252,67.0
2022-08-03,42.077788269028986,91.0
2022-08-04,78.90794716812738,28.0
2022-08-05,172.34597671287517,8.0
2022-08-06,30.92625572315734,0.0
2022-08-07,0.0,0.0
2022-08-08,137.38509128362017,169.0
2022-08-09,111.71404956482843,177.0
2022-08-10,132.11249516376648,240.0
2022-08-11,59.95090305153829,10.0
2022-08-12,116.27065039781567,169.5
2022-08-13,153.68683748383046,3.0
2022-08-14,0.0,0.0
2022-08-15,174.05112437046677,0.0
2022-08-16,145.77781840000142,1099.0
2022-08-17,499.0469751590657,70.0
2022-08-18,240.6014928309201,205.0
2022-08-19,307.18592513312353,2.0
2022-08-20,237.4545555779788,0.0
2022-08-21,0.0,0.0
2022-08-22,478.2571613809947,92.0
2022-08-23,232.90217087377854,7.5
2022-08-24,225.28175533012586,271.0
2022-08-25,304.41777464790425,929.0
2022-08-26,228.83625583811852,4.0
2022-08-27,296.6387248011283,0.0
2022-08-28,0.0,0.0
2022-08-29,289.078847123051,108.0
2022-08-30,190.2820222401733,253.0
2022-08-31,46.29544302049297,79.0
2022-09-01,274.46110390400224,728.0
2022-09-02,190.15063869937495,165.0
2022-09-03,45.11089463961096,44.0
2022-09-04,0.0,0.0
2022-09-05,208.456113866894,95.0
2022-09-06,120.34105352134054,21.0
2022-09-07,219.936517379758,332.0
2022-09-08,254.5973728925757,271.0
2022-09-09,7.112658306154827,0.0
2022-09-10,0.0,0.0
2022-09-11,0.0,0.0
2022-09-12,177.4838598603889,0.0
2022-09-13,419.53827242683894,1186.0
2022-09-14,447.69266929320395,698.0
2022-09-15,391.75547753086164,297.0
2022-09-16,278.86918045451387,38.5
2022-09-17,212.244936601474,957.0
2022-09-18,191.75437322294488,0.0
2022-09-19,468.69383282195224,210.5
2022-09-20,505.49499794978374,310.0
2022-09-21,268.3123407253031,550.5
2022-09-22,494.076969540914,257.0
2022-09-23,474.58254929726735,752.0
2022-09-24,286.33934162975135,540.0
2022-09-25,140.47271196628267,0.0
2022-09-26,328.4045185290761,76.5
2022-09-27,366.7663137127647,152.0
2022-09-28,317.21280463800343,1072.0
2022-09-29,543.0923095377174,177.0
2022-09-30,227.98442410821065,23.5
2022-10-01,289.60545000073614,180.0
2022-10-02,0.0,0.0
2022-10-03,115.20341517347478,51.0
2022-10-04,32.25832275666167,177.0
2022-10-05,366.7840342803283,350.5
2022-10-06,426.99986919992665,163.0
2022-10-07,241.51158335360586,787.0
2022-10-08,254.27106469603262,0.0
2022-10-09,22.189866630026614,0.0
2022-10-10,131.78488925994432,0.0
2022-10-11,537.9686779499401,1084.0
2022-10-12,581.8802306030346,16.0
2022-10-13,457.76854564275504,5.0
2022-10-14,296.1530679331736,40.5
2022-10-15,102.81823770401371,0.0
2022-10-16,0.0,0.0
2022-10-17,271.585314971765,131.0
2022-10-18,408.56895388379263,46.0
2022-10-19,248.67034106424114,177.0
2022-10-20,222.22761317523324,378.5
2022-10-21,223.1168142644639,56.0
2022-10-22,79.70990433995757,0.0
2022-10-23,0.0,0.0
2022-10-24,5.156901410060243,134.0
2022-10-25,176.71741204975592,278.0
2022-10-26,130.53067454085837,50.0
2022-10-27,200.73068921681067,40.0
2022-10-28,67.7008078774742,8.0
2022-10-29,58.78157358449653,929.0
2022-10-30,108.41990547878999,0.0
2022-10-31,96.15035258709682,177.0
2022-11-01,492.7139888887111,35.0
2022-11-02,253.50232808266068,17.0
2022-11-03,131.51054748986826,0.0
2022-11-04,0.0,37.0
2022-11-05,0.0,117.0
2022-11-06,0.0,0.0
2022-11-07,123.41790642486626,177.0
2022-11-08,194.1298491424437,13.0
2022-11-09,150.9792183758383,562.0
2022-11-10,218.29215402146863,936.0
2022-11-11,242.78368734190758,53.0
2022-11-12,161.24662225199677,0.0
2022-11-13,0.0,0.0
2022-11-14,127.92830729984149,79.0
2022-11-15,417.58702031989344,912.0
2022-11-16,543.3095924654942,0.0
2022-11-17,336.75532579955836,547.0
2022-11-18,242.14220264436577,10.0
2022-11-19,229.82908599850035,912.0
2022-11-20,121.3046849138953,0.0
2022-11-21,269.2200502022646,158.0
2022-11-22,332.260028860656,405.66
2022-11-23,240.66094050300026,192.34
2022-11-24,354.16350449471673,467.5
2022-11-25,421.4315677219861,6.0
2022-11-26,193.72718741054456,0.0
2022-11-27,53.741044326675194,0.0
2022-11-28,116.13917226790292,510.0
2022-11-29,366.7998658119207,67.0
2022-11-30,197.93495954184155,177.0
2022-12-01,336.35096781382185,109.0
2022-12-02,0.0,7.0
2022-12-03,0.0,0.0
2022-12-04,0.0,0.0
2022-12-05,175.67913167270024,926.0
2022-12-06,272.6488224922078,435.0
2022-12-07,335.07926983976523,3.0
2022-12-08,368.13036324943636,177.0
2022-12-09,0.0,179.0
2022-12-10,61.56217610496364,169.0
2022-12-11,0.0,0.0
2022-12-12,366.44496750196856,126.0
2022-12-13,214.19068647176422,25.0
2022-12-14,166.74107114459312,499.0
2022-12-15,349.5350183096242,152.0
2022-12-16,187.294902670493,839.0
2022-12-17,421.44598545638837,0.0
2022-12-18,116.2006402549276,0.0
2022-12-19,309.1796631031052,716.0
2022-12-20,334.7621406326557,602.0
2022-12-21,218.3674979896808,788.0
2022-12-22,439.5806742155415,557.0
2022-12-23,250.67178014974468,434.0
2022-12-24,324.7963485625428,255.0
2022-12-25,0.0,0.0
2022-12-26,435.6297455496013,476.0
2022-12-27,302.2075732261323,352.0
2022-12-28,629.2590639654327,473.0
2022-12-29,256.7359175062733,0.0
